age,gender,country,prefecture,wish_original,wish_ja,wish_en,wish_zh,wish_ko,flag,timestamp
21-30,女性,日本,佐賀県,防犯カメラが適切に設置されますように,防犯カメラが適切に設置されますように,Ensure that security cameras are installed properly,确保正确安装安全摄像机,보안 카메라가 올바르게 설치되어 있는지 확인하십시오,🇯🇵,2025-05-04 23:52:11
51-60,男性,エジプト,,I hope that excessive sense of responsibility will be reduced,過度な責任感が軽くなりますように,I hope that excessive sense of responsibility will be reduced,我希望过度的责任感将减少,과도한 책임감이 줄어들기를 바랍니다.,🇪🇬,2025-05-04 23:52:11
41-50,女性,南アフリカ,,I hope we can develop programming languages ​​from scratch,ゼロからプログラミング言語を開発できますように,I hope we can develop programming languages ​​from scratch,我希望我们可以从头开始开发编程语言,처음부터 프로그래밍 언어를 개발할 수 있기를 바랍니다,🇿🇦,2025-05-04 23:52:11
11-20,男性,カナダ,,I hope you will enter your faculty of your choice,希望の学部に入れますように,I hope you will enter your faculty of your choice,希望您能进入您选择的教师,선택한 교수진에 들어가길 바랍니다.,🇨🇦,2025-05-04 23:52:11
70-,男性,ベリーズ,,I hope there will be more parks where children can play safely,子どもたちが安全に遊べる公園が増えますように,I hope there will be more parks where children can play safely,我希望孩子们可以安全玩耍的公园,아이들이 안전하게 놀 수있는 더 많은 공원이 있기를 바랍니다.,🇧🇿,2025-05-04 23:52:11
31-40,女性,中国,,希望您在出国留学时会有丰富的经历,留学先で充実した経験ができますように,I hope you will have a fulfilling experience when studying abroad,希望您在出国留学时会有丰富的经历,해외에서 공부할 때 성취 된 경험이 있기를 바랍니다.,🇨🇳,2025-05-04 23:52:11
51-60,男性,中国,,我希望可以确保心理安全,心理的安全が確保できますように,I hope that psychological safety can be ensured,我希望可以确保心理安全,심리적 안전이 보장 될 수 있기를 바랍니다,🇨🇳,2025-05-04 23:52:11
51-60,男性,ナイジェリア,,Make your career path clear,キャリアパスが明確になりますように,Make your career path clear,使您的职业道路清晰,경력 경로를 명확하게하십시오,🇳🇬,2025-05-04 23:52:11
11-20,女性,韓国,,친구들과의 그룹 라인이 흥미로워 지길 바랍니다,友達とのグループLINEが盛り上がりますように,I hope that your group LINE with friends will be exciting,我希望您的小组与朋友排队会令人兴奋,친구들과의 그룹 라인이 흥미로워 지길 바랍니다.,🇰🇷,2025-05-04 23:52:11
70-,女性,韓国,,나는 당신이 프로 피아니스트로 무대에 있기를 바랍니다,プロのピアニストとしてステージに立てますように,I hope you will be on stage as a professional pianist.,我希望您能作为专业钢琴家上台。,나는 당신이 프로 피아니스트로 무대에 있기를 바랍니다.,🇰🇷,2025-05-04 23:52:11
31-40,女性,ウクライナ,,I hope the gap between rich and poor will be narrowed,貧富の差が縮まりますように,I hope the gap between rich and poor will be narrowed,我希望富人与穷人之间的差距将被缩小,부자와 가난한 사람의 격차가 좁아 지길 바랍니다.,🇺🇦,2025-05-04 23:52:11
41-50,女性,ジャマイカ,,I hope you can win a scholarship,奨学金を獲得できますように,I hope you can win a scholarship,希望您能赢得奖学金,장학금을받을 수 있기를 바랍니다,🇯🇲,2025-05-04 23:52:11
-10,女性,日本,福井県,先生に怒られませんように,先生に怒られませんように,I hope the teacher doesn't get mad,我希望老师不会生气,선생님이 화 내지 않기를 바랍니다,🇯🇵,2025-05-04 23:52:11
31-40,男性,日本,山口県,会議資料の準備が楽になりますように,会議資料の準備が楽になりますように,I hope that meeting materials will be prepared easily,我希望会议材料会很容易准备,회의 자료가 쉽게 준비되기를 바랍니다,🇯🇵,2025-05-04 23:52:11
11-20,男性,日本,広島県,成績が上がりますように,成績が上がりますように,I hope your grades improve,希望您的成绩有所提高,나는 당신의 성적이 향상되기를 바랍니다,🇯🇵,2025-05-04 23:52:11
51-60,男性,中国,,我可以接受我的悲伤并前进吗,悲しみを受け入れ、前に進めますように,May I accept my sadness and move forward,我可以接受我的悲伤并前进吗,슬픔을 받아들이고 앞으로 나아갈 수 있습니다,🇨🇳,2025-05-04 23:52:11
41-50,回答しない,日本,宮崎県,スキルギャップが埋まりますように,スキルギャップが埋まりますように,I hope the skill gap is filled,我希望技能差距已经填补,기술 격차가 채워지기를 바랍니다,🇯🇵,2025-05-04 23:52:11
31-40,女性,日本,奈良県,翻訳家として有名な本を訳せますように,翻訳家として有名な本を訳せますように,I hope I can translate a book that is famous as a translator,我希望我能翻译一本书，以翻译而闻名,번역가로 유명한 책을 번역 할 수 있기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
-10,男性,中国,,希望您能成为学校节的主角,学芸会で主役になれますように,I hope you will be the main character at the school festival,希望您能成为学校节的主角,학교 축제에서 주인공이 되길 바랍니다.,🇨🇳,2025-05-04 23:52:11
-10,女性,日本,熊本県,おばけ屋敷がこわくなくなりますように,おばけ屋敷がこわくなくなりますように,I hope the ghost house will no longer be scary,我希望幽灵屋不会再可怕,유령 집이 더 이상 무섭지 않기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
21-30,回答しない,中国,,我希望该项目成功完成,プロジェクトが成功裏に完了しますように,I hope the project is completed successfully,我希望该项目成功完成,프로젝트가 성공적으로 완료되기를 바랍니다,🇨🇳,2025-05-04 23:52:11
21-30,男性,日本,秋田県,新しいスキルを迅速に習得できますように,新しいスキルを迅速に習得できますように,I hope you can quickly acquire new skills,希望您能快速获得新技能,새로운 기술을 빨리 얻을 수 있기를 바랍니다,🇯🇵,2025-05-04 23:52:11
61-70,女性,日本,三重県,仕事のスキルが上がりますように,仕事のスキルが上がりますように,I hope your work skills improve,希望您的工作能力提高,귀하의 업무 기술이 향상되기를 바랍니다,🇯🇵,2025-05-04 23:52:11
11-20,女性,ガーナ,,I hope rare characters appear in smartphone games,スマホのゲームでレアキャラが出ますように,I hope rare characters appear in smartphone games,我希望稀有角色出现在智能手机游戏中,스마트 폰 게임에 드문 캐릭터가 나타나기를 바랍니다,🇬🇭,2025-05-04 23:52:11
70-,女性,日本,島根県,地域の医療体制が強化されますように,地域の医療体制が強化されますように,I hope that the local medical system will be strengthened,我希望当地的医疗系统将得到加强,지역 의료 시스템이 강화되기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
31-40,男性,日本,和歌山県,絶望感が薄れ、希望を見いだせますように,絶望感が薄れ、希望を見いだせますように,May the sense of hope fade away and we can find hope,愿希望的感觉消失了，我们可以找到希望,희망의 감각이 사라지고 우리는 희망을 찾을 수 있습니다,🇯🇵,2025-05-04 23:52:11
31-40,女性,中国,,希望您能在期末考试中获得目标,期末テストで目標点が取れますように,I hope you can get your goals on the final exam,希望您能在期末考试中获得目标,최종 시험에서 목표를 달성 할 수 있기를 바랍니다.,🇨🇳,2025-05-04 23:52:11
70-,回答しない,ポーランド,,May the global conservation be strengthened,世界の自然保護が強化されますように,May the global conservation be strengthened,愿全球保护得到加强,글로벌 보존이 강화되기를 바랍니다,🇵🇱,2025-05-04 23:52:11
61-70,女性,日本,秋田県,里山や川がきれいに保たれますように,里山や川がきれいに保たれますように,I hope that the mountains and rivers are kept clean,我希望山和河流保持清洁,산과 강이 깨끗하게 유지되기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
51-60,女性,トルコ,,I hope you can work in your ideal team,理想のチームで働けますように,I hope you can work in your ideal team,希望您能在理想的团队中工作,이상적인 팀에서 일할 수 있기를 바랍니다,🇹🇷,2025-05-04 23:52:11
51-60,回答しない,日本,大分県,家族で健康診断を受ける習慣がつきますように,家族で健康診断を受ける習慣がつきますように,I hope that the family will become a habit of undergoing a health check,我希望这个家庭将成为接受健康检查的习惯,나는 가족이 건강 점검을받는 습관이되기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
61-70,女性,日本,広島県,授業で積極的に発言できますように,授業で積極的に発言できますように,I hope you can speak up positively in class,希望你能在课堂上积极地说出来,수업 시간에 긍정적으로 말할 수 있기를 바랍니다,🇯🇵,2025-05-04 23:52:11
51-60,男性,中国,,我希望你能作为演员工作,俳優として活躍できますように,I hope you can work as an actor,我希望你能作为演员工作,배우로 일할 수 있기를 바랍니다,🇨🇳,2025-05-04 23:52:11
21-30,女性,中国,,愿世界森林砍伐停止,世界の森林破壊が止まりますように,May the deforestation of the world stop,愿世界森林砍伐停止,세상의 삼림 벌채가 멈출 수 있습니다,🇨🇳,2025-05-04 23:52:11
31-40,女性,韓国,,우리 가족이 재난을 예방할 준비가되기를 바랍니다,家族で災害に強い備えができますように,I hope that our family will be prepared to prevent disasters,我希望我们的家人准备预防灾难,우리 가족이 재난을 예방할 준비가되기를 바랍니다.,🇰🇷,2025-05-04 23:52:11
61-70,男性,ベトナム,,I hope that marine plastic waste will be reduced dramatically,海洋プラスチックごみが激減しますように,I hope that marine plastic waste will be reduced dramatically,我希望海洋塑料废物会大大减少,해양 플라스틱 폐기물이 크게 줄어들기를 바랍니다.,🇻🇳,2025-05-04 23:52:11
31-40,女性,オーストラリア,,I hope that psychological safety can be ensured,心理的安全が確保できますように,I hope that psychological safety can be ensured,我希望可以确保心理安全,심리적 안전이 보장 될 수 있기를 바랍니다,🇦🇺,2025-05-04 23:52:11
70-,回答しない,中国,,我希望你能和家人一起旅行,家族で旅行に行けますように,I hope you can go on a trip with your family,我希望你能和家人一起旅行,나는 당신이 당신의 가족과 함께 여행 할 수 있기를 바랍니다.,🇨🇳,2025-05-04 23:52:11
-10,回答しない,日本,長崎県,みんな仲良くなりますように,みんな仲良くなりますように,I hope everyone gets along well,我希望每个人都相处得很好,모두가 잘 지내길 바랍니다,🇯🇵,2025-05-04 23:52:11
21-30,女性,ウクライナ,,I hope you can work at overseas branches,海外支社で活躍できますように,I hope you can work at overseas branches,希望您可以在海外分支机构工作,해외 지점에서 일할 수 있기를 바랍니다,🇺🇦,2025-05-04 23:52:11
41-50,男性,日本,福井県,地元の名産品が世界に広まりますように,地元の名産品が世界に広まりますように,I hope local specialties spread around the world,我希望当地的特色菜遍布世界各地,지역 전문 분야가 전 세계에 퍼지기를 바랍니다,🇯🇵,2025-05-04 23:52:11
21-30,回答しない,日本,徳島県,自分だけのブランドを立ち上げて成功しますように,自分だけのブランドを立ち上げて成功しますように,I hope you will be successful by launching your own brand,希望您通过推出自己的品牌成功,나만의 브랜드를 시작하여 성공하기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
61-70,女性,日本,岐阜県,卒業後の進路が明確になりますように,卒業後の進路が明確になりますように,I hope that your career path after graduation will be clear,希望您毕业后的职业道路会很清楚,나는 졸업 후 당신의 경력 경로가 분명하기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
41-50,男性,日本,静岡県,職場の人間関係が良くなりますように,職場の人間関係が良くなりますように,I hope that the relationships at work will improve,我希望工作中的关系会有所改善,직장에서의 관계가 향상되기를 바랍니다,🇯🇵,2025-05-04 23:52:11
-10,回答しない,ボリビア,,I hope I get 100 points on the test,テストで100点取れますように,I hope I get 100 points on the test,我希望我在测试中得到100分,테스트에서 100 포인트를 얻기를 바랍니다,🇧🇴,2025-05-04 23:52:11
61-70,女性,モロッコ,,I hope that extracurricular activities will be fulfilled,課外活動が充実しますように,I hope that extracurricular activities will be fulfilled,我希望课外活动能够完成,과외 활동이 충족되기를 바랍니다,🇲🇦,2025-05-04 23:52:11
11-20,女性,韓国,,학교 여행에서 비가 내리지 않기를 바랍니다,修学旅行で雨が降りませんように,I hope it doesn't rain on the school trip,我希望上学不会下雨,학교 여행에서 비가 내리지 않기를 바랍니다,🇰🇷,2025-05-04 23:52:11
31-40,女性,日本,高知県,自然災害被災者が早期に復興できますように,自然災害被災者が早期に復興できますように,I hope that victims of natural disasters can recover quickly,我希望自然灾害的受害者能够迅速康复,자연 재해의 피해자가 빨리 회복 될 수 있기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
-10,男性,日本,岐阜県,好きなキャラクターのぬいぐるみがいっぱいほしい,好きなキャラクターのぬいぐるみがいっぱいほしい,I want lots of stuffed animals from my favorite character,我想要很多我最喜欢角色的毛绒动物,나는 내가 좋아하는 캐릭터에서 박제 동물을 많이 원한다,🇯🇵,2025-05-04 23:52:11
31-40,男性,日本,山口県,絶望感が薄れ、希望を見いだせますように,絶望感が薄れ、希望を見いだせますように,May the sense of hope fade away and we can find hope,愿希望的感觉消失了，我们可以找到希望,희망의 감각이 사라지고 우리는 희망을 찾을 수 있습니다,🇯🇵,2025-05-04 23:52:11
51-60,男性,日本,秋田県,会議の時間が短縮されますように,会議の時間が短縮されますように,I hope the meeting time will be reduced,我希望会议时间会减少,회의 시간이 줄어들기를 바랍니다,🇯🇵,2025-05-04 23:52:11
11-20,女性,中国,,希望你能和你的朋友一起学习,友達と仲良く勉強できますように,I hope you can study with your friends,希望你能和你的朋友一起学习,친구들과 공부할 수 있기를 바랍니다,🇨🇳,2025-05-04 23:52:11
11-20,男性,韓国,,학교 축제의 집행위원회로 선정되기를 바랍니다,文化祭の実行委員に選ばれますように,I hope you will be selected as the executive committee of the school festival,希望您将被选为学校节日的执行委员会,학교 축제의 집행위원회로 선정되기를 바랍니다.,🇰🇷,2025-05-04 23:52:11
-10,男性,韓国,,내 숙제가 사라지기를 바랍니다,宿題がなくなりますように,I hope my homework is gone,我希望我的作业不见了,내 숙제가 사라지기를 바랍니다,🇰🇷,2025-05-04 23:52:11
11-20,男性,日本,岡山県,修学旅行で雨が降りませんように,修学旅行で雨が降りませんように,I hope it doesn't rain on the school trip,我希望上学不会下雨,학교 여행에서 비가 내리지 않기를 바랍니다,🇯🇵,2025-05-04 23:52:11
41-50,女性,エクアドル,,May regional revitalization spread throughout the country,地方創生が全国に波及しますように,May regional revitalization spread throughout the country,可能会在全国范围内传播区域振兴,지역 활성화가 전국에 퍼지기를 바랍니다,🇪🇨,2025-05-04 23:52:11
11-20,回答しない,イラン,,I hope your studies will be fun,勉強が楽しくなりますように,I hope your studies will be fun,希望您的学业会很有趣,나는 당신의 공부가 재미 있기를 바랍니다,🇮🇷,2025-05-04 23:52:11
31-40,男性,中国,,我希望世界的教育差距将消除,世界の教育格差がなくなりますように,I hope that the world's education gap will be eliminated,我希望世界的教育差距将消除,세계의 교육 격차가 제거되기를 바랍니다.,🇨🇳,2025-05-04 23:52:11
31-40,男性,サウジアラビア,,I hope you can work at overseas branches,海外支社で活躍できますように,I hope you can work at overseas branches,希望您可以在海外分支机构工作,해외 지점에서 일할 수 있기를 바랍니다,🇸🇦,2025-05-04 23:52:11
61-70,女性,日本,福島県,職場の人間関係が改善しますように,職場の人間関係が改善しますように,I hope that the relationships at work will improve,我希望工作中的关系会有所改善,직장에서의 관계가 향상되기를 바랍니다,🇯🇵,2025-05-04 23:52:11
31-40,女性,日本,大分県,チームの負荷分散がうまくいきますように,チームの負荷分散がうまくいきますように,I hope that teams can balance their load well,我希望团队能够很好地平衡他们的负担,팀이 짐 균형을 잘 맞출 수 있기를 바랍니다,🇯🇵,2025-05-04 23:52:11
61-70,男性,日本,三重県,世界中の伝統工芸を学ぶ旅に出られますように,世界中の伝統工芸を学ぶ旅に出られますように,I hope you will be on a journey to learn about traditional crafts from around the world,我希望您能在世界各地了解传统手工艺品的旅程,전 세계의 전통 공예품에 대해 배우기 위해 여행을 하시길 바랍니다.,🇯🇵,2025-05-04 23:52:11
31-40,女性,イタリア,,I hope you can connect with people without feeling alone,孤独感を感じず、人とつながれますように,I hope you can connect with people without feeling alone,我希望你能与人建立联系而不会感到一个人,혼자 느끼지 않고 사람들과 연결할 수 있기를 바랍니다.,🇮🇹,2025-05-04 23:52:11
41-50,男性,日本,高知県,プロのダンサーとして世界ツアーに参加できますように,プロのダンサーとして世界ツアーに参加できますように,I hope you can join a world tour as a professional dancer,希望您能参加专业舞者参加世界巡回演唱会,프로 댄서로 월드 투어에 참여할 수 있기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
70-,男性,日本,茨城県,地域の安心・安全が守られますように,地域の安心・安全が守られますように,I hope that the safety and security of the local community can be maintained,我希望可以维护当地社区的安全性,지역 사회의 안전과 보안이 유지 될 수 있기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
61-70,女性,日本,新潟県,心のモヤモヤが晴れますように,心のモヤモヤが晴れますように,I hope the uneasy feelings of my heart will be cleared,我希望我的内心不安的感觉能被清除,내 마음의 불안한 감정이 사라지기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
21-30,男性,日本,山形県,家族でボランティア活動に参加できますように,家族でボランティア活動に参加できますように,I hope that your family can participate in volunteer activities,我希望您的家人可以参加志愿活动,나는 당신의 가족이 자원 봉사 활동에 참여할 수 있기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
51-60,回答しない,チュニジア,,I hope you don't worry,心配事がなくなりますように,I hope you don't worry,我希望你不用担心,걱정하지 않기를 바랍니다,🇹🇳,2025-05-04 23:52:11
-10,男性,韓国,,나는 여름 방학이 더 길기를 원합니다,夏休みが長くなってほしい,I want the summer vacation to be longer,我希望暑假更长,나는 여름 방학이 더 길기를 원합니다,🇰🇷,2025-05-04 23:52:11
31-40,女性,日本,秋田県,先生との信頼関係が築けますように,先生との信頼関係が築けますように,I hope you can build a relationship of trust with your teacher,希望您能与您的老师建立信任关系,선생님과 신뢰의 관계를 구축 할 수 있기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
11-20,女性,日本,愛知県,友達と仲良く勉強できますように,友達と仲良く勉強できますように,I hope you can study with your friends,希望你能和你的朋友一起学习,친구들과 공부할 수 있기를 바랍니다,🇯🇵,2025-05-04 23:52:11
70-,男性,日本,長野県,難民が安全に暮らせる環境が整いますように,難民が安全に暮らせる環境が整いますように,I hope that the environment is created where refugees can live safely,我希望在难民可以安全地生活的地方创造环境,난민이 안전하게 살 수있는 환경이 만들어지기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
31-40,女性,日本,千葉県,水資源の安定供給が確保されますように,水資源の安定供給が確保されますように,I hope that a stable supply of water resources is ensured,我希望能确保稳定的水资源供应,안정적인 수자원 공급이 보장되기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
11-20,男性,日本,長崎県,海外留学できますように,海外留学できますように,I hope you can study abroad,我希望你可以出国学习,해외에서 공부할 수 있기를 바랍니다,🇯🇵,2025-05-04 23:52:11
51-60,回答しない,日本,大分県,失敗から学び成長できますように,失敗から学び成長できますように,I hope you can learn and grow from your mistakes,希望您可以从错误中学习并成长,실수로 배우고 성장할 수 있기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
51-60,男性,日本,岐阜県,自分だけの小さなカフェを開業できますように,自分だけの小さなカフェを開業できますように,I hope you can open your own small cafe,我希望你能开设自己的小咖啡馆,나는 당신이 당신의 작은 카페를 열 수 있기를 바랍니다,🇯🇵,2025-05-04 23:52:11
51-60,男性,サウジアラビア,,May the wildlife be protected,野生動物が守られますように,May the wildlife be protected,愿野生动植物受到保护,야생 동물이 보호되기를 바랍니다,🇸🇦,2025-05-04 23:52:11
11-20,男性,韓国,,제가 가장 좋아하는 라이브 티켓을 얻었 으면 좋겠어요,推しのライブチケットが当たりますように,I hope you win a live ticket from my favorite,希望您从我最喜欢的,제가 가장 좋아하는 라이브 티켓을 얻었 으면 좋겠어요,🇰🇷,2025-05-04 23:52:11
31-40,回答しない,日本,静岡県,技術的な問題が早く解決しますように,技術的な問題が早く解決しますように,I hope that technical problems will be resolved soon,我希望技术问题能尽快解决,기술적 문제가 곧 해결되기를 바랍니다,🇯🇵,2025-05-04 23:52:11
51-60,女性,日本,滋賀県,自分を許せるようになりますように,自分を許せるようになりますように,I hope you can forgive yourself,我希望你能原谅自己,나는 당신이 자신을 용서할 수 있기를 바랍니다,🇯🇵,2025-05-04 23:52:11
41-50,女性,韓国,,프로젝트의 방향이 분명하기를 바랍니다,プロジェクトの方向性がはっきりしますように,I hope that the direction of the project is clear,我希望该项目的方向很清楚,프로젝트의 방향이 분명하기를 바랍니다.,🇰🇷,2025-05-04 23:52:11
61-70,男性,中国,,我希望你不要放弃自己的梦想,夢をあきらめずに進めますように,I hope you don't give up on your dreams,我希望你不要放弃自己的梦想,나는 당신이 당신의 꿈을 포기하지 않기를 바랍니다,🇨🇳,2025-05-04 23:52:11
11-20,女性,アメリカ合衆国,,I hope the teacher praises me,先生にほめられますように,I hope the teacher praises me,我希望老师赞美我,선생님이 저를 칭찬하기를 바랍니다,🇺🇸,2025-05-04 23:52:11
11-20,男性,韓国,,방과후 보충 수업이 없기를 바랍니다,放課後の補習がなくなりますように,I hope there will be no after-school supplementary lessons,我希望不会有课后补充课程,방과후 보충 수업이 없기를 바랍니다,🇰🇷,2025-05-04 23:52:11
31-40,女性,日本,千葉県,仕事とプライベートを両立できますように,仕事とプライベートを両立できますように,I hope you can balance work and personal life,希望您能平衡工作和个人生活,나는 당신이 일과 개인적인 삶의 균형을 맞출 수 있기를 바랍니다,🇯🇵,2025-05-04 23:52:11
11-20,男性,日本,青森県,受験に自信が持てますように,受験に自信が持てますように,I hope you will be confident in your exams,希望您对考试充满信心,시험에 자신감을 갖기를 바랍니다,🇯🇵,2025-05-04 23:52:11
11-20,男性,韓国,,해외에서 공부할 수 있기를 바랍니다,海外留学できますように,I hope you can study abroad,我希望你可以出国学习,해외에서 공부할 수 있기를 바랍니다,🇰🇷,2025-05-04 23:52:11
51-60,男性,日本,和歌山県,グループワークがスムーズに進みますように,グループワークがスムーズに進みますように,I hope that group work will proceed smoothly,我希望小组工作将顺利进行,그 그룹 작업이 순조롭게 진행되기를 바랍니다,🇯🇵,2025-05-04 23:52:11
31-40,女性,中国,,使您的职业道路清晰,キャリアパスが明確になりますように,Make your career path clear,使您的职业道路清晰,경력 경로를 명확하게하십시오,🇨🇳,2025-05-04 23:52:11
51-60,女性,ベネズエラ,,May cross-border cooperation be strengthened,国境を越えた協力が強固になりますように,May cross-border cooperation be strengthened,可以加强跨境合作,국경 간 협력이 강화 될 수 있습니다,🇻🇪,2025-05-04 23:52:11
61-70,男性,中国,,我希望过度的责任感将减少,過度な責任感が軽くなりますように,I hope that excessive sense of responsibility will be reduced,我希望过度的责任感将减少,과도한 책임감이 줄어들기를 바랍니다.,🇨🇳,2025-05-04 23:52:11
